id;prediction
300001;341.57976500532055
300002;231.63733277601759
300003;293.80080826635475
300004;365.81997767471108
300005;286.33531621568142
300006;401.6495201354424
300007;423.05780073018911
300008;209.08181029267277
300009;575.69649907664655
300010;534.84554703103868
300011;248.44045833555711
300012;308.33344483237153
300013;226.55304260395326
300014;208.21536363909976
300015;398.56366109559684
300016;179.63458613062576
300017;239.7896680213741
300018;490.01013970555266
300019;291.10281507586416
300020;469.87074298664993
300021;214.83747673577895
300022;366.2002818640683
300023;391.50477640407166
300024;339.4968472316998
300025;280.40364375728683
300026;224.88527431716798
300027;288.34005036813483
300028;380.08945965829025
300029;282.39352027784656
300030;197.20747091209753
300031;385.83143837437262
300032;425.00206443440214
300033;274.71422247391757
300034;399.97664246486386
300035;342.86105738860829
300036;299.46918028459476
300037;126.08424705256778
300038;330.7104234990959
300039;204.9750293533836
300040;218.41727866357053
300041;344.6148992212087
300042;503.12009873959994
300043;278.39920223722629
300044;460.87840176684301
300045;261.26136385057345
300046;287.16879035879703
300047;280.5894357149312
300048;221.94959968468982
300049;374.66843524336616
300050;261.82115836635592
300051;311.44903860351832
300052;288.00782628240694
300053;296.13297168985719
300054;351.85210571436448
300055;322.95063197143332
300056;331.94858341146005
300057;295.73816268412907
300058;359.21180007141731
300059;276.32076310427175
300060;279.1562087299439
300061;350.16207124047543
300062;192.81036236846109
300063;166.14777227505951
300064;335.08573315173794
300065;290.29489973741011
300066;220.51286705027331
300067;403.92253782128273
300068;407.49808771157046
300069;400.83248955140664
300070;280.31564183056611
300071;213.23886282436916
300072;317.16685200994112
300073;311.39976086530635
300074;481.09995262767274
300075;364.48194322333592
300076;304.08342750291354
300077;305.51063692269253
300078;346.89764869519212
300079;296.88495869240086
300080;221.09199638207895
300081;216.38321154303449
300082;268.33530522188136
300083;288.73630029527396
300084;331.17626416512917
300085;223.29528421984025
300086;241.07897904068625
300087;301.48012746809002
300088;297.56418714817994
300089;374.66843524336616
300090;248.55929096035103
300091;381.23127610927469
300092;242.58327089465209
300093;164.84379623496474
300094;385.54502889209687
300095;207.47526322505897
300096;399.50499234901008
300097;247.83424158461608
300098;557.72822890433304
300099;353.92074872048198
300100;272.76569383015823
300101;287.08335098616334
300102;247.81486311329411
300103;567.90994467726
300104;277.77360701496326
300105;280.22147128409404
300106;328.85813517323362
300107;325.65583605849321
300108;265.35564932480611
300109;279.70324319443353
300110;560.86604674210423
300111;469.98007703421416
300112;301.48012746809002
300113;318.30921565670843
300114;349.82416642998038
300115;398.98624905522126
300116;294.24423101542499
300117;287.46533703950894
300118;573.24364613465343
300119;229.32565099441825
300120;228.75348951691402
300121;221.65954712991058
300122;496.08783129708559
300123;272.39295829622057
300124;499.96212958508744
300125;282.33859965707984
300126;341.28771175722687
300127;445.97273267432854
300128;248.43670291837398
300129;214.26839916217435
300130;265.5378217979989
300131;271.32849399614776
300132;296.65994843336779
300133;182.61430984464647
300134;344.1122341892297
300135;295.73816268412907
300136;240.29969854518009
300137;213.11758938548704
300138;306.75290093095197
300139;305.23611290997843
300140;302.41930643400042
300141;495.87488601304989
300142;290.94068651708596
300143;290.11010103633498
300144;336.76415595314398
300145;300.70108806499934
300146;406.0437287002365
300147;219.37904835720997
300148;360.85451144712778
300149;394.66915036511705
300150;191.831098523294
300151;459.53431423788555
300152;355.00136980471785
300153;353.11389559463618
300154;337.55478102605241
300155;299.76198771710915
300156;322.20687700646624
300157;405.12956983659421
300158;196.06948445915077
300159;330.78479061240608
300160;227.88617185240784
300161;278.60245994624444
300162;306.11574855207823
300163;318.25959128548504
300164;361.46398784614189
300165;369.63403204142526
300166;230.49349852436123
300167;226.56857104941312
300168;316.27986833356675
300169;301.8463743667167
300170;215.32242349078112
