id;prediction
300001;331.74330654545469
300002;229.57421648351146
300003;279.81459973371261
300004;362.05235279390081
300005;288.90501735030563
300006;405.72989685729561
300007;423.24899896114226
300008;199.292407706554
300009;585.73059981192796
300010;538.00459745528735
300011;257.23679076153149
300012;340.74254265913964
300013;241.16957092550564
300014;219.64520287519531
300015;385.90231346040787
300016;192.9660527990535
300017;244.22487514574502
300018;490.8187476645133
300019;290.6332756442356
300020;482.23817748824888
300021;223.26770246304807
300022;382.76507360612305
300023;406.27786405125659
300024;346.12928021630097
300025;294.60368201289913
300026;238.65665923153196
300027;292.81778129473463
300028;384.32866097593165
300029;277.85490140745316
300030;214.35698977416413
300031;397.1467814859231
300032;425.49723033380428
300033;276.72021815139459
300034;401.72966945032903
300035;353.38667990906868
300036;307.87051382761683
300037;151.37595045698617
300038;329.85184420585006
300039;210.34456226571518
300040;213.00161783607021
300041;346.77921990020684
300042;502.10712464672196
300043;283.72635958381426
300044;471.12806527940512
300045;263.43472635078177
300046;296.37151156788377
300047;272.60514154018307
300048;235.44652505687978
300049;386.55013107692463
300050;253.28582695905413
300051;320.27395686581502
300052;277.21073349061834
300053;302.89781102006333
300054;345.22002661954582
300055;314.56540440366081
300056;339.00637108722992
300057;307.44848610278547
300058;362.84120691551323
300059;287.0026545230877
300060;266.10640211022184
300061;366.3282275376161
300062;217.61784491465943
300063;185.90261965498698
300064;317.08878597129456
300065;298.74230356883896
300066;211.09257215326531
300067;416.29856167098262
300068;419.62744201892281
300069;405.5434835543951
300070;288.77008815587357
300071;230.73757802607304
300072;335.6144634441298
300073;289.14391176432741
300074;475.97437092522927
300075;368.89209633373554
300076;313.42885334314593
300077;315.73864738416796
300078;353.05024164536201
300079;289.21868793719295
300080;223.22294096593063
300081;205.5041063479928
300082;287.24193124778418
300083;283.57760752172618
300084;325.58129409296942
300085;229.87300645550775
300086;234.76320816701653
300087;310.42575378914137
300088;307.44848610278547
300089;372.78165959233905
300090;258.65183643049119
300091;391.01006160102696
300092;243.34334295847961
300093;179.63331123169618
300094;385.8233340166924
300095;210.76716681387776
300096;412.23067683750708
300097;247.02409780940059
300098;548.30427086640191
300099;373.39201126424575
300100;266.4409445492638
300101;278.15839138984904
300102;264.48882564512297
300103;563.41509769630932
300104;293.21560855183776
300105;266.10640211022184
300106;324.46720234503834
300107;322.27317448800358
300108;281.9241746829494
300109;282.20434781028183
300110;556.38720143802414
300111;467.82947649534663
300112;310.42575378914137
300113;325.05201374787316
300114;338.89648365804061
300115;397.39477117883382
300116;277.39947624578542
300117;283.49509629173087
300118;572.52156064147232
300119;221.74103810599621
300120;228.17698684630227
300121;235.44652505687978
300122;482.75316418320779
300123;263.44961446258657
300124;482.09317222748319
300125;267.31006872804335
300126;329.69925257164243
300127;432.97792244409698
300128;264.48882564512297
300129;198.15194925388718
300130;290.48598208126509
300131;276.61777861219161
300132;304.90740669637944
300133;190.34014051728846
300134;331.158082064322
300135;296.1171707030523
300136;253.97482245028914
300137;197.51656951377458
300138;300.5249983615027
300139;297.60705536617246
300140;301.43417459860774
300141;492.52649835633554
300142;278.97387664910769
300143;296.59024410698612
300144;333.49922798464843
300145;297.53666015382913
300146;402.13703564708572
300147;215.15392332666954
300148;383.89455517254356
300149;401.28244569791713
300150;174.4118338897832
300151;457.35391015493985
300152;346.04634586760756
300153;380.52624547995242
300154;329.91866968663891
300155;306.58183069130877
300156;311.28388120793227
